,year,runtime,title,genre,actor,actress,director,popularity,premiere,imdb score,language
486,1986,105,King Kong Lives!,Action,"Kerwin, Brian","Hamilton, Linda","Guillermin, John",20,,,
488,1991,186,At Play in the Fields of the Lord,Drama,"Berenger, Tom","Hannah, Daryl","Babenco, Hector",81,,,
490,1992,99,Memoirs of an Invisible Man,Comedy,"Chase, Chevy","Hannah, Daryl","Carpenter, John",58,,,
491,1985,100,"Clan of the Cave Bear, The",Drama,"Remar, James","Hannah, Daryl","Chapman, Michael",73,,,
492,1983,82,"Final Terror, The",Horror,"Zmed, Adrian","Hannah, Daryl","Davis, Andrew",24,,,
493,1984,93,Reckless,Drama,"Quinn, Aidan","Hannah, Daryl","Foley, James",14,,,
495,1987,107,Roxanne,Comedy,"Martin, Steve","Hannah, Daryl","Schepisi, Fred",66,,,
496,1982,117,Blade Runner,Action,"Ford, Harrison","Hannah, Daryl","Scott, Ridley",1,,,
497,1987,126,Wall Street,Drama,"Douglas, Michael","Hannah, Daryl","Stone, Oliver",6,,,
500,1938,298,Flaming Frontiers,Western,"Brown, Johnny Mack","Hansen, Eleanor","Taylor, Ray",82,,,
501,1936,89,Libeled Lady,Comedy,"Powell, William","Harlow, Jean","Conway, Jack",86,,,
502,1976,99,Inserts,Drama,"Dreyfuss, Richard","Harper, Jessica","Byrum, John",85,,,
503,1988,88,"Blue Iguana, The",Drama,"McDermott, Dylan","Harper, Jessica","Lafia, John",65,,,
504,1983,93,Tender Mercies,Drama,"Duvall, Robert","Harper, Tess","Beresford, Bruce",61,,,
505,1987,96,Nights in White Satin,Drama,"Gilman, Kenneth","Harris, Priscilla","Barnard, Michael",5,,,
506,1989,87,Videodrome,Horror,"Woods, James","Harry, Deborah","Cronenberg, David",36,,,
507,1991,96,Intimate Stranger,Mystery,"Russo, James","Harry, Deborah","Holzman, Allan",23,,,
508,1986,110,Highlander,Science Fiction,"Lambert, Christopher","Hart, Roxanne","Mulcahy, Russell",8,,,
510,1989,104,Tango & Cash,Action,"Stallone, Sylvester","Hatcher, Teri","Konchalovsky, Andrei",9,,,
511,1970,94,There's a Girl in My Soup,Comedy,"Sellers, Peter","Hawn, Goldie","Boulting, Roy",41,,,
512,1984,100,Swing Shift,Drama,"Russell, Kurt","Hawn, Goldie","Demme, Jonathan",81,,,
513,1978,112,Foul Play,Comedy,"Chase, Chevy","Hawn, Goldie","Higgins, Colin",46,,,
514,1982,109,Best Friends,Comedy,"Reynolds, Burt","Hawn, Goldie","Jewison, Norman",74,,,
515,1972,109,Butterflies Are Free,Drama,"Albert, Edward","Hawn, Goldie","Katselas, Milton",82,,,
516,1987,112,Overboard,Comedy,"Russell, Kurt","Hawn, Goldie","Marshall, Garry",6,,,
517,1974,103,"Girl from Petrovka, The",Drama,"Holbrook, Hal","Hawn, Goldie","Miller, Robert Ellis",23,,,
518,1992,102,Housesitter,Comedy,"Martin, Steve","Hawn, Goldie","Oz, Frank",14,,,
519,1986,106,Wildcats,Comedy,"Keach, James","Hawn, Goldie","Ritchie, Michael",22,,,
520,1984,100,Protocol,Comedy,"Sarandon, Chris","Hawn, Goldie","Ross, Herbert",53,,,
521,1980,102,Seems Like Old Times,Comedy,"Chase, Chevy","Hawn, Goldie","Sandrich, Jay",49,,,
522,1974,109,"Sugarland Express, The",Drama,"Johnson, Ben","Hawn, Goldie","Spielberg, Steven",28,,,
523,1980,110,Private Benjamin,Comedy,"Assante, Armand","Hawn, Goldie","Zieff, Howard",61,,,
525,1931,95,Arrowsmith,Drama,"Colman, Ronald","Hayes, Helen","Ford, John",84,,,
526,1972,78,Say Goodbye Maggie Cole,Drama,"McGavin, Darren","Hayward, Susan","Taylor, Jud",84,,,
527,1964,132,Circus World,Drama,"Wayne, John","Hayworth, Rita","Hathaway, Henry",29,,,
528,1952,98,Affair in Trinidad,Drama,"Ford, Glenn","Hayworth, Rita","Sherman, Vincent",49,,,
529,1948,87,Lady from Shanghai,Mystery,"Welles, Orson","Hayworth, Rita","Welles, Orson",16,,,
530,1940,81,Lady in Question,Drama,"Aherne, Brian","Hayworth, Rita","Vidor, Charles",57,,,
531,1946,110,Gilda,Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",57,,,
532,1948,98,"Loves of Carmen, The",Drama,"Ford, Glenn","Hayworth, Rita","Vidor, Charles",48,,,
533,1990,105,Dick Tracy,Comedy,"Beatty, Warren","Headley, Glenne","Beatty, Warren",84,,,
534,1964,130,Marnie,Drama,"Connery, Sean","Hedren, Tippi","Hitchcock, Alfred",2,,,
535,1987,85,Hot Child in the City,Mystery,"Prysirr, Geof","Hendrix, Leah Ayres","Florea, John",0,,,
536,1984,90,Johnny Dangerously,Comedy,"Piscopo, Joe","Henner, Marilu","Heckerling, Amy",3,,,
537,1985,95,Stark,Mystery,"Surovy, Nicolas","Henner, Marilu","Holcomb, Rod",27,,,
538,1949,84,Three Strange Loves,Drama,"Malmsten, Birger","Henning, Eva","Bergman, Ingmar",87,,,
539,1964,170,My Fair Lady,Music,"Harrison, Rex","Hepburn, Audrey","Cukor, George",10,,,
540,1960,123,"Unforgiven, The",Drama,"Lancaster, Burt","Hepburn, Audrey","Huston, John",32,,,
541,1976,106,Robin & Marian,Action,"Connery, Sean","Hepburn, Audrey","Lester, Richard",6,,,
542,1961,109,"Children's Hour, The",Drama,"Garner, James","Hepburn, Audrey","Wyler, William",60,,,
543,1956,121,"Rainmaker, The",Drama,"Lancaster, Burt","Hepburn, Katharine","Anthony, Joseph",21,,,
544,1952,95,Pat & Mike,Comedy,"Tracy, Spencer","Hepburn, Katharine","Cukor, George",48,,,
545,1968,134,"Lion in Winter, THe",Drama,"O'Toole, Peter","Hepburn, Katharine","Harvey, Anthony",78,,,
546,1991,132,"Sea of Grass, The",Western,"Tracy, Spencer","Hepburn, Katharine","Kazan, Elia",75,,,
547,1967,108,Guess Who's Coming to Dinner,Drama,"Tracy, Spencer","Hepburn, Katharine","Kramer, Stanley",50,,,
548,1957,153,Desk Set,Comedy,"Tracy, Spencer","Hepburn, Katharine","Lang, Walter",51,,,
549,1975,107,Rooster Cogburn,Western,"Wayne, John","Hepburn, Katharine","Miller, Stuart",76,,,
550,1981,109,On Golden Pond,Drama,"Fonda, Henry","Hepburn, Katharine","Rydell, Mark",23,,,
558,1992,95,Juice,Drama,"Shakur, Tupac","Herron, Cindy","Dickerson, Ernest R.",31,,,
559,1986,114,Hoosiers,Drama,"Hackman, Gene","Hershey, Barbara","Anspaugh, David",2,,,
560,1987,112,Tin Men,Comedy,"Dreyfuss, Richard","Hershey, Barbara","Levinson, Barry",50,,,
561,1988,163,"Last Temptation of Christ, The",Drama,"Dafoe, Willem","Hershey, Barbara","Scorsese, Martin",32,,,
563,1988,87,Souvenir,Drama,"Plummer, Christopher","Hicks, Catherine","Reeve, Geoffrey",42,,,
564,1966,120,A Man for All Seasons,Drama,"Shaw, Robert","Hiller, Wendy","Zinnemann, Fred",20,,,
565,1986,90,Knights & Emeralds,Drama,"Leadbitter, Bill","Hills, Beverly","Emes, Ian",,,,
566,1989,83,Masque of the Red Death,Horror,"MacNee, Patrick","Hoak, Clare","Brand, Larry",9,,,
567,1943,265,"Adventures of Smilin' Jack, The",Mystery,"Brown, Tom","Hobart, Rose","Taylor, Ray",77,,,
568,1992,88,Adventures in Dinosaur City,Action,"Katz, Omri","Hoffman, Shawn","Thompson, Brett",19,,,
569,1987,95,"Allnighter, The",Comedy,"Terlesky, John","Hoffs, Susanna","Hoffs, Tamar Simon",71,,,
570,1980,99,Caddyshack,Comedy,"Chase, Chevy","Holcomb, Sarah","Ramis, Harold",70,,,
571,1973,102,Tom Sawyer,Music,"Whitaker, Johnny","Holm, Celeste","Taylor, Don",11,,,
572,1987,94,"Rita, Sue & Bob Too",Comedy,"Finneran, Siohban","Holmes, Michelle","Clarke, Alan",5,,,
573,1947,56,Hawk of Powder River,Western,"Dean, Eddie","Holt, Jennifer","Taylor, Ray",61,,,
574,1928,148,Tempest,Drama,"Barrymore, John","Horn, Camilla","Taylor, Sam",33,,,
575,1986,90,Running Mates,Drama,"Webb, Greg","Howard, Barbara","Neff, Thomas L.",63,,,
576,1987,105,Prettykill,Drama,"Birney, David","Hubley, Season","Kaczender, George",71,,,
577,1934,80,Judge Priest,Drama,"Rogers, Will","Hudson, Rochelle","Ford, John",9,,,
578,1950,104,Harvey,Comedy,"Stewart, James","Hull, Josephine","Koster, Henry",42,,,
579,1991,89,If Looks Could Kill,Action,"Grieco, Richard","Hunt, Linda","Wilmington, Michael",10,,,
580,1987,94,Raising Arizona,Comedy,"Cage, Nicolas","Hunter, Holly","Coen, Joel",23,,,
581,1989,114,Once Around,Comedy,"Dreyfuss, Richard","Hunter, Holly","Hallström, Lasse",68,,,
582,1980,110,Loulou,Drama,"Depardieu, Gérard","Huppert, Isabelle","Pialat, Maurice",65,,,
583,1982,136,"World According to Garp, The",Drama,"Williams, Robin","Hurt, Mary Beth","Hill, George Roy",59,,,
584,1980,106,Virus,Science Fiction,"Kennedy, George","Hussey, Olivia","Fukasaku, Kinji",62,,,
585,1940,127,Northwest Passage,Action,"Tracy, Spencer","Hussey, Ruth","Vidor, King",51,,,
586,1987,112,Gardens of Stone,Drama,"Caan, James","Huston, Anjelica","Coppola, Francis Ford",27,,,
587,1989,121,"Enemies, a Love Story",Drama,"Silver, Ron","Huston, Anjelica","Mazursky, Paul",5,,,
588,1992,102,"Addams Family, The",Comedy,"Julia, Raul","Huston, Anjelica","Sonnenfeld, B.",8,,,
589,1932,65,Freaks,Horror,"Ford, Wallace","Hyams, Leila","Browning, Tod",61,,,
590,1991,108,Necessary Roughness,Comedy,"Bakula, Scott","Ireland, Kathy","Dragoti, Stan",60,,,
591,1990,93,A Show of Force,Drama,"Garcia, Andy","Irving, Amy","Barreto, Bruno",1,,,
592,1980,129,"Competition, The",Drama,"Dreyfuss, Richard","Irving, Amy","Oliansky, Joel",45,,,
593,1988,97,Crossing Delancey,Comedy,"Riegert, Peter","Irving, Amy","Silver, Joan Micklin",6,,,
594,1982,120,"State of Things, The",Drama,"Kime, Jeffrey",Isabelle Weingarten.,"Wenders, Wim",73,,,
595,1987,89,Business As Usual,Comedy,"Thaw, John","Jackson, Glenda","Barrett, Lezli-An",17,,,
596,1973,103,A Touch of Class,Comedy,"Segal, George","Jackson, Glenda","Frank, Melvin",79,,,
597,1970,129,Women in Love.,Drama,"Bates, Alan","Jackson, Glenda","Russell, Ken",18,,,
598,1988,89,Salome's Last Dance,Comedy,"Johns, Stratford","Jackson, Glenda","Russell, Ken",76,,,
599,1986,100,Casino,Mystery,"Connors, Mike","Jackson, Sherry","Chaffey, Don",5,,,
600,1955,108,Smiles of a Summer Night,Comedy,"Björnstrand, Gunnar","Jacobsson, Ulla","Bergman, Ingmar",58,,,
601,1989,90,New Year's Day,Comedy,"Jaglom, Henry","Jakobsen, Maggie","Jaglom, Henry",88,,,
602,1981,132,Mephisto,Drama,"Brandauer, Klaus Maria","Janda, Krystyna","Szabó, István",80,,,
603,1927,60,Easy Virtue,Mystery,"Dyall, Franklin","Jeans, Isabel","Hitchcock, Alfred",45,,,
605,1991,83,Strictly Business,Comedy,"Davidson, Tommy","Johnson, Anne-Marie","Hooks, Kevin",3,,,
606,1983,90,Blame It on Rio,Comedy,"Caine, Michael","Johnson, Michelle","Donen, Stanley",10,,,
607,1987,86,Straight to Hell,Action,"Hopper, Dennis","Jones, Grace","Cox, Alex",47,,,
609,1986,100,American Anthem,Drama,"Gaylord, Mitch","Jones, Janet","Magnoli, Albert",74,,,
610,1963,99,Bedtime Story,Comedy,"Brando, Marlon","Jones, Shirley","Levy, Ralph",7,,,
612,1988,102,"Night Train to Katmandu, THe",Action,"Roberts, Pernell","Jovovich, Milla","Wiemer, Robert",43,,,
613,1948,100,Port of Call,Drama,"Eklund, Bengt","Jönsson, Nine-Christine","Bergman, Ingmar",29,,,
614,1973,103,Paper Moon,Comedy,"O'Neal, Ryan","Kahn, Madeline","Bogdanovich, Peter",3,,,
615,1983,97,Yellowbeard,Comedy,"Chapman, Graham","Kahn, Madeline","Damski, Mel",34,,,
616,1975,91,Adventures of Sherlock Holmes' Smarter,Comedy,"Wilder, Gene","Kahn, Madeline","Wilder, Gene",42,,,
617,1990,108,Flashback,Comedy,"Hopper, Dennis","Kane, Carol","Amurri, Franco",19,,,
618,1977,89,"World's Greatest Lover, The",Comedy,"Wilder, Gene","Kane, Carol","Wilder, Gene",42,,,
619,1955,67,Killer's Kiss,Mystery,"Silvera, Frank","Kane, Irene","Kubrick, Stanley",66,,,
620,1988,103,"Deceivers, The",Action,"Brosnan, Pierce","Kapoor, Shashi","Meyer, Nicholas",14,,,
621,1983,97,Breathless,Action,"Gere, Richard","Kaprisky, Valerie","McBride, Jim",51,,,
622,1989,145,Born on the Fourth of July,Drama,"Cruise, Tom","Kava, Caroline","Stone, Oliver",8,,,
623,1991,120,Awakenings,Drama,"De Niro, Robert","Kavner, Julie","Marshall, Penny",8,,,
624,1977,94,Annie Hall,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",68,,,
625,1979,96,Manhattan,Comedy,"Allen, Woody","Keaton, Diane","Allen, Woody",82,,,
626,1981,195,Reds,Drama,"Beatty, Warren","Keaton, Diane","Beatty, Warren",76,,,
627,1986,105,Crimes of the Heart,Comedy,"Shepard, Sam","Keaton, Diane","Beresford, Bruce",84,,,
628,1977,136,Looking for Mr. Goodbar,Drama,"Atherton, William","Keaton, Diane","Brooks, Richard",54,,,
629,1972,175,"Godfather, The",Drama,"Brando, Marlon","Keaton, Diane","Coppola, Francis Ford",8,,,
630,1974,201,"Godfather, Pt 2., The",Drama,"Pacino, Al","Keaton, Diane","Coppola, Francis Ford",8,,,
631,1976,109,"I Will, I Will...For Now",Comedy,"Gould, Elliott","Keaton, Diane","Panama, Norman",6,,,
632,1972,86,"Play It Again, Sam",Comedy,"Allen, Woody","Keaton, Diane","Ross, Herbert",81,,,
635,1970,130,Fellini Satyricon,Drama,"Potter, Martin","Keller, Hiram","Fellini, Federico",88,,,
636,1980,117,"Formula, The",Mystery,"Scott, George C.","Keller, Marthe","Avildsen, John G.",82,,,
637,1977,143,Black Sunday,Drama,"Shaw, Robert","Keller, Marthe","Frankenheimer, John",76,,,
638,1977,124,Bobby Deerfield,Drama,"Pacino, Al","Keller, Marthe","Pollack, Sydney",36,,,
639,1972,98,Last of the Red Hot Lovers,Comedy,"Arkin, Alan","Kellerman, Sally","Saks, Gene",40,,,
640,1953,116,Mogambo,Action,"Gable, Clark","Kelly, Grace","Ford, John",71,,,
641,1955,103,To Catch a Thief,Mystery,"Grant, Cary","Kelly, Grace","Hitchcock, Alfred",69,,,
642,1954,113,Rear Window,Mystery,"Stewart, James","Kelly, Grace","Hitchcock, Alfred",25,,,
643,1945,69,Woman Who Came Back,Drama,"Kruger, Otto","Kelly, Nancy","Colmes, Walter",26,,,
644,1939,101,Stanley & Livingstone,Action,"Tracy, Spencer","Kelly, Nancy","King, Henry",11,,,
645,1956,129,"Bad Seed, The",Horror,"Jones, Henry","Kelly, Nancy","LeRoy, Mervyn",69,,,
646,1989,113,Lethal Weapon 2,Action,"Gibson, Mel","Kensit, Patsy","Donner, Richard",69,,,
647,1992,79,Blame It on the Bellboy,Comedy,"Moore, Dudley","Kensit, Patsy","Herman, Mark",69,,,
648,1927,62,"Drop Kick, The",Drama,"Barthelmess, Richard","Kent, Barbara","Webb, Millard",,,,
649,1978,145,"Superman, The Movie",Action,"Brando, Marlon","Kidder, Margot","Donner, Richard",87,,,
650,1987,90,Superman IV: The Quest for Peace,Action,"Reeve, Christopher","Kidder, Margot","Furie, Sidney J.",77,,,
651,1970,90,Quackser Fortune Has a Cousin in the Bronx,Comedy,"Wilder, Gene","Kidder, Margot","Waris, Hussein",49,,,
652,1989,96,Dead Calm,Mystery,"Neill, Sam","Kidman, Nicole","Noyce, Phillip",1,,,
653,1990,107,Days of Thunder,Action,"Cruise, Tom","Kidman, Nicole","Scott, Tony",3,,,
654,1987,101,My Life As a Dog,Comedy,"Glanzelius, Anton","Kinnaman, Melinda","Hallström, Lasse",21,,,
656,1984,150,"Paris, Texas",Drama,"Stanton, Harry Dean","Kinski, Nastassia","Wenders, Wim",27,,,
657,1984,96,Unfaithfully Yours,Comedy,"Moore, Dudley","Kinski, Nastassia","Zieff, Howard",73,,,
658,1987,95,Bullseye!,Comedy,"Caine, Michael","Kirkland, Sally","Winner, Michael",8,,,
659,1989,104,Erik the Viking,Action,"Robbins, Tim","Kitt, Eartha","Jones, Terry",25,,,
660,1987,90,Dragonard,Drama,"Reed, Oliver","Kitt, Eartha","Kikoine, Gerard",71,,,
661,1986,90,Hard Choices,Drama,"McCleery, Gary","Klenck, Margaret","King, Rick",41,,,
662,1969,102,"Rain People, The",Drama,"Caan, James","Knight, Shirley","Coppola, Francis Ford",78,,,
663,1984,106,A Year of the Quiet Sun,Drama,"Wilson, Scott","Komorowska, Maja","Zanussi, Krzystoff",78,,,
664,1935,54,"Desert Trail, The",Western,"Wayne, John","Kornman, Mary","Collins, Lewis D.",50,,,
665,1990,98,Almost an Angel,Comedy,"Hogan, Paul","Kozlowski, Linda","Cornell, John",14,,,
666,1986,98,Crocodile Dundee,Comedy,"Hogan, Paul","Kozlowski, Linda","Faiman, Peter",66,,,
667,1977,127,"American Friend, The",Mystery,"Hopper, Dennis","Kreuzer, Lisa","Wenders, Wim",35,,,
668,1989,119,See You in the Morning,Drama,"Bridges, Jeff","Krige, Alice","Pakula, Alan J.",53,,,
669,1987,88,"Arrogant, The",Drama,"Graham, Gary","Kristel, Sylvia","Blot, Philippe",62,,,
670,1989,86,Dracula's Widow,Horror,"Sommer, Josef","Kristel, Sylvia","Coppola, Christopher",55,,,
671,1987,90,Ninja Masters of Death,Action,"Peterson, Chris","Kruize, Kelly","Lambert, Bruce",15,,,
672,1990,110,Mystery Train,Comedy,"Nagase, Masatoshi","Kudoh, Youki","Jarmusch, Jim",23,,,
674,1986,89,True Stories,Comedy,"Goodman, John","Kurtz, Swoosie","Byrne, David",79,,,
675,1953,94,Ugetsu Monogatari,Drama,"Mori, Masayuki","Kyô, Machiki","Mizoguchi, Kenji",82,,,
676,1969,80,Rebel Rousers,Action,"Nicholson, Jack","Ladd, Diane","Cohen, Martin B.",44,,,
677,1988,98,Plain Clothes,Comedy,"Howard, Arliss","Ladd, Diane","Coolidge, Martha",4,,,
678,1981,119,"Whose Life Is It, Anyway?",Drama,"Dreyfuss, Richard","Lahti, Christine","Badham, John",62,,,
679,1988,116,Running on Empty,Drama,"Hirsch, Judd","Lahti, Christine","Lumet, Sidney",2,,,
680,1990,101,Funny about Love,Comedy,"Wilder, Gene","Lahti, Christine","Nimoy, Leonard",60,,,
681,1985,118,"A Chorus Line, The Movie",Music,"Douglas, Michael","Landers, Audrey","Attenborough, Richard",71,,,
682,1986,84,Stewardess School,Comedy,"Most, Donald","Landers, Judy","Blancato, Ken",28,,,
683,1987,109,"Big Town, The",Drama,"Dillon, Matt","Lane, Diane","Bolt, Ben",11,,,
684,1983,94,Rumble Fish,Drama,"Dillon, Matt","Lane, Diane","Coppola, Francis Ford",4,,,
685,1983,91,"Outsiders, The",Drama,"Howell, C. Thomas","Lane, Diane","Coppola, Francis Ford",56,,,
686,1990,94,Priceless Beauty,Science Fiction,"Lambert, Christopher","Lane, Diane","Finch, Charles",7,,,
687,1989,93,Streets of Fire,Action,"Paré, Michael","Lane, Diane","Hill, Walter",65,,,
688,1990,115,Men Don't Leave,Drama,"Howard, Arliss","Lange, Jessica","Brickman, Paul",66,,,
690,1992,128,Cape Fear,Mystery,"De Niro, Robert","Lange, Jessica","Scorsese, Martin",7,,,
692,1949,58,Crashing Thru,Western,"Wilson, Whip","Larson, Christine","Taylor, Ray",19,,,
693,1978,109,Get Out Your Handkerchiefs,Comedy,"Depardieu, Gérard","Laure, Carole","Blier, Bertrand",78,,,
694,1971,137,"Boy Friend, THe",Music,"Gable, Christopher","Lawson, Twiggy","Russell, Ken",8,,,
695,1990,100,Hard To Kill,Action,"Seagal, Steven","LeBrock, Kelly","Malmuth, Bruce",49,,,
696,1960,109,Psycho,Horror,"Perkins, Anthony","Leigh, Janet","Hitchcock, Alfred",56,,,
697,1957,112,Jet Pilot,Action,"Wayne, John","Leigh, Janet","Sternberg, Josef von",43,,,
698,1987,95,Under Cover,Mystery,"Neidorf, David","Leigh, Jennifer Jason","Stockwell, John",36,,,
699,1951,122,A Streetcar Named Desire,Drama,"Brando, Marlon","Leigh, Vivien","Kazan, Elia",75,,,
700,1986,93,"Golden Child, The",Comedy,"Murphy, Eddie","Lewis, Charlotte","Ritchie, Michael",86,,,
701,1971,84,"Statue, The",Drama,"Niven, David","Lisi, Virna","Amateau, Rod",80,,,
702,1985,128,Christopher Columbus,Drama,"Byrne, Gabriel","Lisi, Virna","Lattuada, Alberto",69,,,
703,1989,116,In Country,Drama,"Willis, Bruce","Lloyd, Emily","Jewison, Norman",76,,,
704,1978,132,"Wild Geese, The",Action,"Burton, Richard","Lloyd, Rosalind","McLaglen, Andrew V.",21,,,
705,1974,90,"Second Coming of Suzanne., The",Drama,"Dreyfuss, Richard","Locke, Sondra","Barry, Michael",21,,,
707,1977,109,"Gauntlet, The",Action,"Eastwood, Clint","Locke, Sondra","Eastwood, Clint",18,,,
708,1986,105,Ratboy,Drama,"Townsend, Robert","Locke, Sondra","Locke, Sondra",1,,,
709,1938,96,Lady Vanishes,Mystery,"Redgrave, Michael","Lockwood, Margaret","Hitchcock, Alfred",27,,,
710,1987,95,"Kitchen Toto, THe",Drama,"Peck, Bob","Logan, Phyllis","Hook, Harry",41,,,
711,1959,88,Carlton-Browne of the F.O.,Comedy,Terry-Thomas,"Lohr, Marie","Boulting, Roy",63,,,
712,1929,68,Racketeer,Drama,"Armstrong, Robert","Lombard, Carole","Higgin, Howard",2,,,
713,1941,95,Mr. & Mrs. Smith,Comedy,"Montgomery, Robert","Lombard, Carole","Hitchcock, Alfred",3,,,
714,1986,132,Alrededor de Medianoche,Drama,Francois Cluzet,Lonette McKee,"Rayfield, David",47,,,
715,1982,101,Losin' It,Comedy,"Cruise, Tom","Long, Shelley","Hanson, Curtis",4,,,
716,1987,114,Into the Homeland,Action,"Boothe, Powers","Longstreth, Emily","Glatter, Lesli Linka",34,,,
717,1991,60,Boxing Babes,Action,"Nichol, Robin","Lords, Traci","Dell, Stewart",9,,,
718,1991,94,Shock 'em Dead,Horror,"Donahue, Troy","Lords, Traci","Freed, Mark",31,,,
719,1960,101,Heller in Pink Tights,Drama,"Quinn, Anthony","Loren, Sophia","Cukor, George",52,,,
720,1961,100,Two Women,Drama,"Belmondo, Jean-Paul","Loren, Sophia","De Sica, Vittorio",83,,,
721,1954,107,"Gold of Naples, The",Drama,"De Sica, Vittorio","Loren, Sophia","De Sica, Vittorio",40,,,
722,1963,118,"Yesterday, Today & Tomorrow",Comedy,"Mastroianni, Marcello","Loren, Sophia","De Sica, Vittorio",73,,,
723,1957,109,Legend of the Lost,Action,"Wayne, John","Loren, Sophia","Hathaway, Henry",84,,,
724,1978,111,Brass Target,Action,"Cassavetes, John","Loren, Sophia","Hough, John",53,,,
725,1964,188,"Fall of the Roman Empire, The",Drama,"Boyd, Stphen","Loren, Sophia","Mann, Anthony",62,,,
726,1961,172,El Cid,Drama,"Heston, Charlton","Loren, Sophia","Mann, Anthony",10,,,
727,1958,114,Desire under the Elms,Drama,"Perkins, Anthony","Loren, Sophia","Mann, Delbert",13,,,
728,1953,92,Two Nights with Cleo,Drama,"Sordi, Alberto","Loren, Sophia","Mattoli, Mario",54,,,
730,1977,91,Angela,Drama,"Railsback, Steve","Loren, Sophia","Sagal, Boris",80,,,
731,1977,105,A Special Day,Drama,"Mastroianni, Marcello","Loren, Sophia","Scola, Ettore",80,,,
732,1979,112,Blood Feud,Action,"Mastroianni, Marcello","Loren, Sophia","Wertmuller, Lina",52,,,
738,1986,94,RAD,Action,"Allen, Bill","Loughlin, Lori","Needham, Hal",75,,,
740,1979,85,Cocaine Cowboys,Action,"Palance, Jack","Love, Suzanna","Lommel, Ulli",17,,,
742,1943,64,"Ape Man, The",Horror,"Ford, Wallace","Lugosi, Bela","Beaudine, William",83,,,
743,1986,125,"Mission, The",Drama,"De Niro, Robert","Lunghi, Cherie","Joffe, Roland",20,,,
744,1991,102,Curly Sue,Comedy,"Belushi, Jim","Lynch, Kelly","Hughes, John",2,,,
745,1962,150,Lolita,Drama,"Mason, James","Lyon, Sue","Kubrick, Stanley",80,,,
746,1989,101,"Sex, Lies, and Videotape",Drama,"Spader, James","MacDowell, Andie","Soderbergh, Steven",70,,,
747,1990,107,Green Card,Comedy,"Depardieu, Gérard","MacDowell, Andie","Weir, Peter",25,,,
748,1988,95,Gator Bait II,Action,"Muzzcat, Paul","MacKenzie, Jan","Sebastian, Beverly",73,,,
749,1979,129,Being There,Comedy,"Sellers, Peter","MacLaine, Shirley","Ashby, Hal",31,,,
750,1983,132,Terms of Endearment,Drama,"Nicholson, Jack","MacLaine, Shirley","Brooks, James L.",32,,,
751,1967,99,Woman Times Seven,Comedy,"Sellers, Peter","MacLaine, Shirley","De Sica, Vittorio",36,,,
753,1990,101,Postcards from the Edge,Comedy,"Quaid, Dennis","MacLaine, Shirley","Nichols, Mike",63,,,
754,1970,105,Two Mules for Sister Sara,Western,"Eastwood, Clint","MacLaine, Shirley","Siegel, Don",36,,,
756,1939,85,Back Door to Heaven,Drama,"Ford, Wallace","MacMahon, Aline","Howard, William K.",83,,,
759,1992,60,A Certain Sacrifice,Music,"Pattnosh, Jeremy",Madonna,"Lewicki, Steven Jon",24,,,
765,1988,83,Hot to Trot,Comedy,"Goldthwait, Bob","Madsen, Virginia","Dinner, Michael",78,,,
766,1986,103,Fire with Fire,Drama,"Sheffer, Craig","Madsen, Virginia","Gibbins, Duncan",9,,,
767,1990,120,Hot Spot,Drama,"Johnson, Don","Madsen, Virginia","Hopper, Dennis",70,,,
768,1974,124,Amarcord,Drama,"Noel, Magali","Maggio, Pupella","Fellini, Federico",50,,,
769,1988,85,Casablanca Express,Action,"Connery, Jason","Maneri, Luisa","Martino, Sergio",33,,,
770,1980,94,Out of the Blue,Drama,"Hopper, Dennis","Manz, Linda","Hopper, Dennis",4,,,
772,1981,104,"Hand, The",Horror,"Caine, Michael","Marcovicci, Andrea","Stone, Oliver",44,,,
773,1989,81,Deep Cover,Mystery,"Conti, Tom","Markham, Kika","Loncraine, Richard",15,,,
774,1955,92,Il Bidone,Drama,"Crawford, Broderick","Masina, Guilietta","Fellini, Federico",70,,,
775,1986,130,El Guerrero Solitario,Drama,"Eastwood, Clint","Mason, Marsha","Eastwood, Clint",77,,,
777,1977,110,"Goodbye Girl, The",Comedy,"Dreyfuss, Richard","Mason, Marsha","Ross, Herbert",6,,,
780,1991,144,Robin Hood: Prince of Thieves,Action,"Costner, Kevin","Mastrantonio, Mary Elizabeth","Costner, Kevin",8,,,
781,1992,101,White Sands,Drama,"Dafoe, Willem","Mastrantonio, Mary Elizabeth","Donaldson, Roger",38,,,
782,1986,119,"Color of Money, The",Drama,"Newman, Paul","Mastrantonio, Mary Elizabeth","Scorsese, Martin",6,,,
783,1986,119,Children of a Lesser God,Drama,"Hurt, William","Matlin, Marlee","Haines, Randa",20,,,
785,1989,88,Women on the Verge of a Nervous Breakdown,Comedy,"Banderas, Antonio","Maura, Carmen","Almodóvar, Pedro",65,,,
786,1980,86,Pepi Luci Bom,Comedy,"Rotaeta, Félix","Maura, Carmen","Almodóvar, Pedro",66,,,
787,1989,100,"Forgotten, The",Mystery,"Carradine, Keith","Maynard, Mimi","Keach, James",69,,,
789,1990,92,After the Shock,Drama,"Kotto, Yaphet","McClanahan, Rue","Sherman, Gary",28,,,
